File,RNR,Role,GeneticNK,FosterNK,CaptureDate,Treatment,Pair,Library,Mol_sex,Age,Category
BD_30554_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_30554,Chick,WH.0168.0,WH.0133.0,2018-05-18,Enlarged,133_168,B2,Female,Nestling,Nest B Cross-fostered
BD_30555_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_30555,Chick,WH.0168.0,WH.0133.0,2018-05-18,Enlarged,133_168,B2,Female,Nestling,Nest B Cross-fostered
BD_30556_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_30556,Chick,WH.0168.0,WH.0133.0,2018-05-18,Enlarged,133_168,B2,Male,Nestling,Nest B Cross-fostered
BD_30559_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_30559,Chick,WH.0133.0,WH.0168.0,2018-05-18,Reduced,133_168,B2,Female,Nestling,Nest A Cross-fostered
BD_30560_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_30560,Chick,WH.0133.0,WH.0168.0,2018-05-18,Reduced,133_168,B2,Female,Nestling,Nest A Cross-fostered
BD_30558_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_30558,Chick,WH.0168.0,WH.0168.0,2018-05-18,Reduced,133_168,B2,Male,Nestling,Nest B Stayed
BD_30561_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_30561,Chick,WH.0168.0,WH.0168.0,2018-05-18,Reduced,133_168,B2,Female,Nestling,Nest B Stayed
BD_30634_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_30634,Chick,WH.0147.0,WH.0147.0,2018-05-22,Reduced,147_710,B2,Male,Nestling,Nest A Stayed
BD_30635_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_30635,Chick,WH.0147.0,WH.0147.0,2018-05-22,Reduced,147_710,B2,Female,Nestling,Nest A Stayed
BD_30632_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_30632,Chick,WH.0710.0,WH.0147.0,2018-05-22,Reduced,147_710,B2,Female,Nestling,Nest B Cross-fostered
BD_30633_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_30633,Chick,WH.0710.0,WH.0147.0,2018-05-22,Reduced,147_710,B2,Male,Nestling,Nest B Cross-fostered
BD_30643_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_30643,Chick,WH.0147.0,WH.0710.0,2018-05-22,Enlarged,147_710,B2,Male,Nestling,Nest A Cross-fostered
BD_30648_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_30648,Chick,WH.0147.0,WH.0710.0,2018-05-22,Enlarged,147_710,B2,Male,Nestling,Nest A Cross-fostered
BD_30650_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_30650,Chick,WH.0147.0,WH.0710.0,2018-05-22,Enlarged,147_710,B2,Male,Nestling,Nest A Cross-fostered
BD_30645_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_30645,Chick,WH.0710.0,WH.0710.0,2018-05-22,Enlarged,147_710,B2,Male,Nestling,Nest B Stayed
BD_30647_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_30647,Chick,WH.0710.0,WH.0710.0,2018-05-22,Enlarged,147_710,B2,Female,Nestling,Nest B Stayed
