RNR	BroodofOrigin	BroodofRearing	CF_pair	Age	Treatment
BD_30577	WH.0130.0	WH.0157.0	130_157	14	Enlarged
BD_30576	WH.0157.0	WH.0157.0	130_157	14	Enlarged
BD_30575	WH.0157.0	WH.0157.0	130_157	14	Enlarged
BD_30574	WH.0130.0	WH.0157.0	130_157	14	Enlarged
BD_30712	WH.0130.0	WH.0130.0	130_157	14	Reduced
BD_30711	WH.0157.0	WH.0130.0	130_157	14	Reduced
BD_30710	WH.0130.0	WH.0130.0	130_157	14	Reduced
BD_30709	WH.0130.0	WH.0130.0	130_157	14	Reduced
BD_30708	WH.0157.0	WH.0130.0	130_157	14	Reduced
BD_30557	WH.0133.0	WH.0133.0	133_168	14	Enlarged
BD_30556	WH.0168.0	WH.0133.0	133_168	14	Enlarged
BD_30555	WH.0168.0	WH.0133.0	133_168	14	Enlarged
BD_30554	WH.0168.0	WH.0133.0	133_168	14	Enlarged
BD_30553	WH.0168.0	WH.0133.0	133_168	14	Enlarged
BD_30552	WH.0133.0	WH.0133.0	133_168	14	Enlarged
BD_30551	WH.0133.0	WH.0133.0	133_168	14	Enlarged
BD_30000	WH.0133.0	WH.0133.0	133_168	14	Enlarged
BD_29999	WH.0168.0	WH.0133.0	133_168	14	Enlarged
BD_30561	WH.0168.0	WH.0168.0	133_168	14	Reduced
BD_30560	WH.0133.0	WH.0168.0	133_168	14	Reduced
BD_30559	WH.0133.0	WH.0168.0	133_168	14	Reduced
BD_30558	WH.0168.0	WH.0168.0	133_168	14	Reduced
BD_83553	WH.0139.0	WH.0139.0	139_179	14	Enlarged
BD_54847	WH.0139.0	WH.0139.0	139_179	14	Enlarged
BD_54846	WH.0139.0	WH.0139.0	139_179	14	Enlarged
BD_54844	WH.0179.0	WH.0139.0	139_179	14	Enlarged
BD_54843	WH.0179.0	WH.0139.0	139_179	14	Enlarged
BD_54842	WH.0179.0	WH.0139.0	139_179	14	Enlarged
BD_54841	WH.0139.0	WH.0139.0	139_179	14	Enlarged
BD_54837	WH.0139.0	WH.0139.0	139_179	14	Enlarged
BD_54836	WH.0179.0	WH.0139.0	139_179	14	Enlarged
BD_54835	WH.0179.0	WH.0139.0	139_179	14	Enlarged
BD_54834	WH.0139.0	WH.0139.0	139_179	14	Enlarged
BD_83267	WH.0179.0	WH.0179.0	139_179	14	Reduced
BD_83266	WH.0139.0	WH.0179.0	139_179	14	Reduced
BD_83265	WH.0179.0	WH.0179.0	139_179	14	Reduced
BD_83264	WH.0139.0	WH.0179.0	139_179	14	Reduced
BD_83263	WH.0179.0	WH.0179.0	139_179	14	Reduced
BD_83262	WH.0139.0	WH.0179.0	139_179	14	Reduced
BD_83362	BL.0334.0	BL.0334.0	143_334	14	Enlarged
BD_83361	WH.0143.0	BL.0334.0	143_334	14	Enlarged
BD_83360	WH.0143.0	BL.0334.0	143_334	14	Enlarged
BD_83359	BL.0334.0	BL.0334.0	143_334	14	Enlarged
BD_83358	BL.0334.0	BL.0334.0	143_334	14	Enlarged
BD_83352	WH.0143.0	BL.0334.0	143_334	14	Enlarged
BD_83351	WH.0143.0	BL.0334.0	143_334	14	Enlarged
BD_30700	BL.0334.0	BL.0334.0	143_334	14	Enlarged
BD_30699	BL.0334.0	BL.0334.0	143_334	14	Enlarged
BD_30698	BL.0334.0	BL.0334.0	143_334	14	Enlarged
BD_30641	WH.0143.0	WH.0143.0	143_334	14	Reduced
BD_30640	BL.0334.0	WH.0143.0	143_334	14	Reduced
BD_30639	WH.0143.0	WH.0143.0	143_334	14	Reduced
BD_30638	WH.0143.0	WH.0143.0	143_334	14	Reduced
BD_30637	BL.0334.0	WH.0143.0	143_334	14	Reduced
BD_30636	BL.0334.0	WH.0143.0	143_334	14	Reduced
BD_30650	WH.0147.0	WH.0710.0	147_710	14	Enlarged
BD_30649	WH.0710.0	WH.0710.0	147_710	14	Enlarged
BD_30648	WH.0147.0	WH.0710.0	147_710	14	Enlarged
BD_30647	WH.0710.0	WH.0710.0	147_710	14	Enlarged
BD_30646	WH.0710.0	WH.0710.0	147_710	14	Enlarged
BD_30645	WH.0710.0	WH.0710.0	147_710	14	Enlarged
BD_30644	WH.0147.0	WH.0710.0	147_710	14	Enlarged
BD_30643	WH.0147.0	WH.0710.0	147_710	14	Enlarged
BD_30642	WH.0147.0	WH.0710.0	147_710	14	Enlarged
BD_30635	WH.0147.0	WH.0147.0	147_710	14	Reduced
BD_30634	WH.0147.0	WH.0147.0	147_710	14	Reduced
BD_30633	WH.0710.0	WH.0147.0	147_710	14	Reduced
BD_30632	WH.0710.0	WH.0147.0	147_710	14	Reduced
BD_83331	WH.0032.0	WH.0032.0	15_32	14	Control
BD_83193	WH.0015.0	WH.0032.0	15_32	14	Control
BD_83192	WH.0015.0	WH.0032.0	15_32	14	Control
BD_83191	WH.0032.0	WH.0032.0	15_32	14	Control
BD_83190	WH.0015.0	WH.0032.0	15_32	14	Control
BD_83189	WH.0032.0	WH.0032.0	15_32	14	Control
BD_83188	WH.0032.0	WH.0032.0	15_32	14	Control
BD_83187	WH.0032.0	WH.0032.0	15_32	14	Control
BD_83186	WH.0032.0	WH.0032.0	15_32	14	Control
BD_83185	WH.0015.0	WH.0015.0	15_32	14	Control
BD_83184	WH.0015.0	WH.0015.0	15_32	14	Control
BD_83183	WH.0032.0	WH.0015.0	15_32	14	Control
BD_83182	WH.0015.0	WH.0015.0	15_32	14	Control
BD_83181	WH.0032.0	WH.0015.0	15_32	14	Control
BD_83180	WH.0032.0	WH.0015.0	15_32	14	Control
BD_30230	WH.0015.0	WH.0015.0	15_32	14	Control
BD_30723	BL.0311.0	BL.0311.0	151_311	14	Enlarged
BD_30722	BL.0311.0	BL.0311.0	151_311	14	Enlarged
BD_30721	WH.0151.0	BL.0311.0	151_311	14	Enlarged
BD_30720	WH.0151.0	BL.0311.0	151_311	14	Enlarged
BD_30719	WH.0151.0	BL.0311.0	151_311	14	Enlarged
BD_30718	BL.0311.0	BL.0311.0	151_311	14	Enlarged
BD_30717	WH.0151.0	BL.0311.0	151_311	14	Enlarged
BD_30716	BL.0311.0	BL.0311.0	151_311	14	Enlarged
BD_30715	WH.0151.0	BL.0311.0	151_311	14	Enlarged
BD_30714	BL.0311.0	BL.0311.0	151_311	14	Enlarged
BD_30713	WH.0151.0	BL.0311.0	151_311	14	Enlarged
BD_30590	WH.0151.0	WH.0151.0	151_311	14	Reduced
BD_30589	WH.0151.0	WH.0151.0	151_311	14	Reduced
BD_30588	WH.0151.0	WH.0151.0	151_311	14	Reduced
BD_30587	BL.0311.0	WH.0151.0	151_311	14	Reduced
BD_30586	WH.0151.0	WH.0151.0	151_311	14	Reduced
BD_30585	BL.0311.0	WH.0151.0	151_311	14	Reduced
BD_30584	BL.0311.0	WH.0151.0	151_311	14	Reduced
BD_83752	WH.0036.0	WH.0036.0	16_36	14	Control
BD_83369	WH.0036.0	WH.0036.0	16_36	14	Control
