RNR	BroodofOrigin	BroodofRearing	CF_pair	Age	Treatment
BD_30569	WH.0083.0	WH.0705.0	83_705	14	Enlarged
BD_30568	WH.0705.0	WH.0705.0	83_705	14	Enlarged
BD_30567	WH.0083.0	WH.0705.0	83_705	14	Enlarged
BD_30566	WH.0705.0	WH.0705.0	83_705	14	Enlarged
BD_30565	WH.0083.0	WH.0705.0	83_705	14	Enlarged
BD_30564	WH.0083.0	WH.0705.0	83_705	14	Enlarged
BD_30563	WH.0705.0	WH.0705.0	83_705	14	Enlarged
BD_30562	WH.0705.0	WH.0705.0	83_705	14	Enlarged
BD_30598	WH.0083.0	WH.0083.0	83_705	14	Reduced
BD_30597	WH.0083.0	WH.0083.0	83_705	14	Reduced
BD_30596	WH.0705.0	WH.0083.0	83_705	14	Reduced
BD_30595	WH.0705.0	WH.0083.0	83_705	14	Reduced
BD_30594	WH.0083.0	WH.0083.0	83_705	14	Reduced
BD_30593	WH.0083.0	WH.0083.0	83_705	14	Reduced
BD_30592	WH.0083.0	WH.0083.0	83_705	14	Reduced
BD_30591	WH.0705.0	WH.0083.0	83_705	14	Reduced
BD_83254	BL.0320.0	BL.0320.0	92_320	14	Enlarged
BD_30949	BL.0320.0	BL.0320.0	92_320	14	Enlarged
BD_30948	BL.0320.0	BL.0320.0	92_320	14	Enlarged
BD_30947	BL.0320.0	BL.0320.0	92_320	14	Enlarged
BD_30946	BL.0320.0	BL.0320.0	92_320	14	Enlarged
BD_30945	BL.0320.0	BL.0320.0	92_320	14	Enlarged
BD_83255	WH.0092.0	BL.0320.0	92_320	15	Enlarged
BD_83253	WH.0092.0	BL.0320.0	92_320	15	Enlarged
BD_83252	WH.0092.0	BL.0320.0	92_320	15	Enlarged
BD_83251	WH.0092.0	BL.0320.0	92_320	15	Enlarged
BD_30950	WH.0092.0	BL.0320.0	92_320	15	Enlarged
BD_30944	WH.0092.0	BL.0320.0	92_320	15	Enlarged
BD_54850	BL.0320.0	WH.0092.0	92_320	14	Reduced
BD_54849	BL.0320.0	WH.0092.0	92_320	14	Reduced
BD_30942	BL.0320.0	WH.0092.0	92_320	14	Reduced
BD_54848	WH.0092.0	WH.0092.0	92_320	15	Reduced
BD_30943	WH.0092.0	WH.0092.0	92_320	15	Reduced
